"","leg_id","type","name","committee_id","bill_id"
"21641","TXL000297","cosponsor","Kolkhorst",NA,"SCR 3"
"21642","TXL000400","cosponsor","Perry",NA,"SCR 3"
"21643","TXL000405","cosponsor","Schwertner",NA,"SCR 3"
"21644","TXL000203","cosponsor","Seliger",NA,"SCR 3"
"21645","TXL000349","cosponsor","Taylor, Larry",NA,"SCR 3"
"21646","TXL000496","primary","Phelan",NA,"SCR 3"
"21647","TXL000419","primary","Campbell",NA,"SB 457"
"21648","TXL000482","cosponsor","Bettencourt",NA,"SB 457"
"21649","TXL000479","cosponsor","Huffines",NA,"SB 457"
"21650","TXL000198","primary","Lucio",NA,"SB 467"
"21651","TXL000479","cosponsor","Huffines",NA,"SB 467"
"21652","TXL000434","primary","Fallon",NA,"SB 467"
"21653","TXL000198","primary","Lucio",NA,"SB 461"
"21654","TXL000482","cosponsor","Bettencourt",NA,"SB 461"
"21655","TXL000397","primary","Murphy",NA,"SB 461"
"21656","TXL000195","primary","Hinojosa",NA,"SB 602"
"21657","TXL000364","primary","Birdwell",NA,"SB 602"
"21658","TXL000419","primary","Campbell",NA,"SB 602"
"21659","TXL000405","primary","Schwertner",NA,"SB 602"
"21660","TXL000349","primary","Taylor, Larry",NA,"SB 3"
"21661","TXL000482","cosponsor","Bettencourt",NA,"SB 3"
"21662","TXL000419","cosponsor","Campbell",NA,"SB 3"
"21663","TXL000503","cosponsor","Hall",NA,"SB 3"
"21664","TXL000271","cosponsor","Hancock",NA,"SB 3"
"21665","TXL000479","cosponsor","Huffines",NA,"SB 3"
"21666","TXL000405","cosponsor","Schwertner",NA,"SB 3"
"21667","TXL000350","cosponsor","Taylor, Van",NA,"SB 3"
"21668","TXL000479","primary","Huffines",NA,"SB 764"
"21669","TXL000240","cosponsor","Creighton",NA,"SB 764"
"21670","TXL000400","primary","Perry",NA,"SCR 24"
"21671","TXL000443","primary","Klick",NA,"SCR 24"
"21672","TXL000716","primary","Hughes",NA,"SB 1018"
"21673","TXL000400","primary","Perry",NA,"SB 1018"
"21674","TXL000240","cosponsor","Creighton",NA,"SB 1018"
"21675","TXL000405","primary","Schwertner",NA,"SB 1067"
"21676","TXL000203","primary","Seliger",NA,"SB 837"
"21677","TXL000503","primary","Hall",NA,"SB 1143"
"21678","TXL000350","cosponsor","Taylor, Van",NA,"SB 1143"
"21679","TXL000208","primary","Watson",NA,"SB 1147"
"21680","TXL000271","primary","Hancock",NA,"SB 1147"
"21681","TXL000264","primary","Geren",NA,"SB 1147"
"21682","TXL000208","primary","Watson",NA,"SB 1360"
"21683","TXL000705","primary","Buckingham",NA,"SB 1376"
"21684","TXL000349","primary","Taylor, Larry",NA,"SB 2142"
"21685","TXL000349","primary","Taylor, Larry",NA,"SB 2079"
"21686","TXL000312","primary","Menéndez",NA,"SB 1794"
"21687","TXL000487","primary","Burton",NA,"SB 1836"
"21688","TXL000473","cosponsor","Garcia",NA,"SB 1836"
"21689",NA,"primary","White",NA,"SB 1836"
"21690","TXL000350","primary","Taylor, Van",NA,"SB 1407"
"21691","TXL000349","primary","Taylor, Larry",NA,"SB 2143"
"21692","TXL000419","primary","Campbell",NA,"SB 1602"
"21693","TXL000400","primary","Perry",NA,"SB 1602"
"21694","TXL000240","cosponsor","Creighton",NA,"SB 1602"
"21695","TXL000405","cosponsor","Schwertner",NA,"SB 1602"
"21696","TXL000210","primary","West",NA,"SB 2086"
"21697","TXL000190","primary","Estes",NA,"SB 1421"
"21698","TXL000198","primary","Lucio",NA,"SB 2140"
"21699","TXL000195","primary","Hinojosa",NA,"SB 2140"
"21700","TXL000400","primary","Perry",NA,"SB 2140"
"21701","TXL000414","cosponsor","Rodríguez",NA,"SB 2140"
"21702","TXL000364","primary","Birdwell",NA,"SJR 2"
"21703","TXL000482","primary","Bettencourt",NA,"SJR 2"
"21704","TXL000419","primary","Campbell",NA,"SJR 2"
"21705","TXL000240","primary","Creighton",NA,"SJR 2"
"21706","TXL000271","primary","Hancock",NA,"SJR 2"
"21707","TXL000479","primary","Huffines",NA,"SJR 2"
"21708","TXL000400","primary","Perry",NA,"SJR 2"
"21709","TXL000203","primary","Seliger",NA,"SJR 2"
"21710","TXL000349","primary","Taylor, Larry",NA,"SJR 2"
"21711","TXL000705","cosponsor","Buckingham",NA,"SJR 2"
"21712","TXL000487","cosponsor","Burton",NA,"SJR 2"
"21713","TXL000200","cosponsor","Nichols",NA,"SJR 2"
"21714",NA,"primary","Miller",NA,"SJR 2"
"21715","TXL000363","primary","Zerwas",NA,"SJR 2"
"21716","TXL000507","primary","Burns",NA,"SJR 2"
"21717","TXL000389","primary","Larson",NA,"SJR 2"
"21718","TXL000402","primary","Price",NA,"SJR 2"
"21719","TXL000218","cosponsor","Anderson, Charles ""Doc""",NA,"SJR 2"
"21720","TXL000370","cosponsor","Anderson, Rodney",NA,"SJR 2"
"21721","TXL000424","cosponsor","Ashby",NA,"SJR 2"
"21722","TXL000693","cosponsor","Bailes",NA,"SJR 2"
"21723","TXL000425","cosponsor","Bell",NA,"SJR 2"
