"","title","created_at","updated_at","id","chamber","state","session","type","bill_id"
"1904","Proposing a constitutional amendment authorizing the legislature to provide for an exemption from ad valorem taxation of all or part of the market value of the residence homestead of a Purple Heart recipient or the surviving spouse of a Purple Heart recipient.","2017-02-07 06:10:22","2017-06-16 10:12:29","TXB00050647","lower","tx","85","joint resolution","HJR 67"
"1905","Relating to procedures in a suit for dissolution of a marriage or a suit affecting the parent-child relationship.","2017-02-08 06:08:38","2017-06-05 10:28:22","TXB00050720","lower","tx","85","bill","HB 1617"
"1906","Relating to the issuance of specially marked driver's licenses and personal identification certificates to disabled veterans.","2017-02-08 06:08:40","2017-06-05 10:28:21","TXB00050733","lower","tx","85","bill","HB 1641"
"1907","Relating to the authority of certain counties to impose a hotel occupancy tax.","2017-02-08 06:08:40","2017-06-05 10:28:39","TXB00050743","lower","tx","85","bill","HB 1623"
"1908","Relating to the confidentiality of personal identifying information collected by certain airport governing boards.","2017-02-08 06:08:44","2017-06-05 10:28:48","TXB00050782","lower","tx","85","bill","HB 1624"
"1909","Relating to the authority of counties to require a person to notify a local governmental entity before starting an outdoor fire; creating a criminal penalty.","2017-02-27 06:45:49","2017-06-16 10:11:59","TXB00050914","lower","tx","85","bill","HB 1837"
"1910","Relating to the premium surcharge certain automobile insurers are required to assess against an insured convicted of certain offenses.","2017-02-27 06:45:50","2017-06-05 10:28:12","TXB00050966","lower","tx","85","bill","HB 2372"
"1911","Relating to a pilot program to increase the financial independence of foster children who are transitioning to independent living.","2017-02-27 06:45:52","2017-06-05 10:28:44","TXB00051125","lower","tx","85","bill","HB 2331"
"1912","Relating to the model training curriculum and required training for certain school district peace officers and school resource officers.","2017-02-27 06:45:52","2017-06-05 10:28:27","TXB00051146","lower","tx","85","bill","HB 1972"
"1913","Relating to wage requirements for community rehabilitation programs participating in the purchasing from people with disabilities program.","2017-02-27 06:45:53","2017-06-16 10:11:52","TXB00051197","lower","tx","85","bill","HB 2409"
"1914","Relating to informal dispute resolutions for violations of health and safety standards at certain long-term care facilities; authorizing the imposition of costs.","2017-02-27 06:45:53","2017-06-05 10:28:38","TXB00051227","lower","tx","85","bill","HB 2116"
"1915","Relating to the use and allocation of municipal hotel occupancy tax revenue in certain municipalities.","2017-02-27 06:45:55","2017-06-05 10:28:45","TXB00051343","lower","tx","85","bill","HB 2354"
"1916","Relating to the allocation of low income housing tax credits to developments in certain areas designated as rural.","2017-02-27 06:45:55","2017-06-05 10:28:03","TXB00051372","lower","tx","85","bill","HB 2405"
"1917","Relating to required training for veterans county service officers and assistant veterans county service officers.","2017-02-27 06:45:59","2017-06-05 10:27:48","TXB00051550","lower","tx","85","bill","HB 2154"
"1918","Relating to the rate at which interest accrues in connection with the deferral or abatement of the collection of ad valorem taxes on certain residence homesteads.","2017-02-27 06:46:03","2017-06-05 10:28:12","TXB00051856","lower","tx","85","bill","HB 2236"
"1919","Relating to an annual report on employment positions provided through the Texas college work-study program.","2017-02-27 06:46:04","2017-06-05 10:28:39","TXB00051899","lower","tx","85","bill","HB 2421"
"1920","Relating to publication of notice requirements for certain governmental entities and representatives.","2017-02-27 06:46:05","2017-06-05 10:28:06","TXB00052014","lower","tx","85","bill","HB 2073"
"1921","Relating to continuing education requirements for noncertified surgical technologists.","2017-02-27 06:46:07","2017-06-05 10:28:00","TXB00052107","lower","tx","85","bill","HB 2418"
"1922","Relating to a candidate's application for a place on the ballot.","2017-02-27 06:46:07","2017-06-05 10:28:48","TXB00052152","lower","tx","85","bill","HB 2327"
"1923","Relating to the adoption of the Texas Revised Uniform Fiduciary Access to Digital Assets Act.","2017-02-27 06:46:08","2017-06-05 10:28:27","TXB00052218","lower","tx","85","bill","HB 2158"
"1924","Relating to employment and referral services for veterans and military service members.","2017-02-27 06:46:08","2017-06-05 10:28:01","TXB00052227","lower","tx","85","bill","HB 1973"
"1925","Relating to a study concerning maternal mortality and morbidity in the state's African American population.","2017-02-27 06:46:08","2017-06-05 10:28:31","TXB00052239","lower","tx","85","bill","HB 2403"
"1926","Relating to access to criminal history record information by an emergency communication district.","2017-02-27 06:46:08","2017-06-05 10:28:52","TXB00052254","lower","tx","85","bill","HB 2317"
"1927","Relating to school district grace period policies and the provision of meals to public school students with insufficient balances on prepaid meal cards or meal accounts.","2017-02-27 06:46:08","2017-06-05 10:28:01","TXB00052255","lower","tx","85","bill","HB 2159"
"1928","Relating to the procedure for canceling a deferral or abatement of collection of ad valorem taxes on the residence homestead of an elderly person.","2017-02-27 06:46:09","2017-06-05 10:28:41","TXB00052322","lower","tx","85","bill","HB 2028"
"1929","Relating to provisions applicable to affordable housing located in a reinvestment zone in certain areas of the state.","2017-02-28 07:06:45","2017-06-05 10:28:47","TXB00052435","lower","tx","85","bill","HB 2480"
"1930","Relating to requirements for the use of an insignia or design by guard companies under the Private Security Act.","2017-02-28 07:06:54","2017-06-05 10:27:33","TXB00052535","lower","tx","85","bill","HB 2430"
"1931","Relating to the reporting and delivery of certain unclaimed property.","2017-02-28 07:06:55","2017-06-05 10:28:37","TXB00052549","lower","tx","85","bill","HB 2494"
"1932","Relating to vehicle registration.","2017-02-28 07:06:58","2017-06-05 10:28:06","TXB00052579","lower","tx","85","bill","HB 2461"
"1933","Relating to regulation by the Texas Department of Transportation of the spacing along highways of outdoor advertising in certain municipalities.","2017-03-01 07:14:29","2017-06-05 10:28:36","TXB00052581","lower","tx","85","bill","HB 2584"
"1934","Relating to disclosure requirements of certain nursing facilities that provide care for persons with Alzheimer's disease and related disorders.","2017-03-01 07:14:35","2017-06-05 10:27:51","TXB00052629","lower","tx","85","bill","HB 2520"
"1935","Relating to the use of municipal hotel occupancy tax revenue by certain municipalities.","2017-03-01 07:14:37","2017-06-05 10:27:58","TXB00052645","lower","tx","85","bill","HB 2526"
"1936","Relating to the creation of the legislative oversight committee on the allocation of Medicaid beds in nursing facilities.","2017-03-01 07:14:43","2017-06-05 10:28:30","TXB00052707","lower","tx","85","bill","HB 2570"
"1937","Relating to the withdrawal of a unit of election from certain metropolitan rapid transit authorities.","2017-03-02 07:02:36","2017-06-05 10:27:49","TXB00052748","lower","tx","85","bill","HB 2627"
"1938","Relating to the regulation of banks and trust companies.","2017-03-04 07:16:44","2017-06-05 10:28:08","TXB00052961","lower","tx","85","bill","HB 2822"
"1939","Relating to the elimination of administrative fees for certain transactions relating to the collection of fines, fees, restitution, and other court costs in criminal cases.","2017-03-04 07:16:47","2017-06-05 10:27:53","TXB00053022","lower","tx","85","bill","HB 2769"
"1940","Relating to policies on the recess period in public schools.","2017-03-04 07:16:48","2017-06-05 10:28:03","TXB00053037","lower","tx","85","bill","HB 2884"
"1941","Relating to early voting by certain persons who have an employment hardship.","2017-03-04 07:16:49","2017-06-05 10:28:32","TXB00053062","lower","tx","85","bill","HB 2722"
"1942","Relating to photo identification for certain debit or credit card transactions.","2017-03-04 07:16:51","2017-06-05 10:28:36","TXB00053109","lower","tx","85","bill","HB 2839"
"1943","Relating to investments by state banks to promote community development.","2017-03-04 07:16:53","2017-06-05 10:28:12","TXB00053140","lower","tx","85","bill","HB 2831"
"1944","Relating to confidentiality, sharing, sealing, and destruction of juvenile records.","2017-03-04 07:16:53","2017-06-05 10:28:41","TXB00053141","lower","tx","85","bill","HB 2863"
"1945","Relating to service contract providers.","2017-03-04 07:16:53","2017-06-05 10:28:15","TXB00053152","lower","tx","85","bill","HB 2816"
"1946","Relating to the designation of a portion of State Highway 360 in Ellis and Tarrant Counties as the Senator Chris Harris Memorial Highway.","2017-03-04 07:16:57","2017-06-05 10:28:42","TXB00053232","lower","tx","85","bill","HB 2746"
"1947","Relating to the creation and promulgation of certain standard forms for statewide use in criminal actions.","2017-03-04 07:17:01","2017-06-05 10:28:32","TXB00053282","lower","tx","85","bill","HB 2680"
"1948","Relating to a succession plan for a regional public defender's office that primarily handles capital cases.","2017-03-04 07:17:01","2017-06-05 10:28:13","TXB00053289","lower","tx","85","bill","HB 2736"
"1949","Relating to an assessment of the safety and regulation of municipal solid waste facilities.","2017-03-07 07:40:05","2017-06-05 10:28:19","TXB00053298","lower","tx","85","bill","HB 2958"
"1950","Relating to authorization for the conveyance of certain real property from Texas Tech University to Texas Tech University Health Sciences Center.","2017-03-07 07:40:06","2017-06-05 10:27:57","TXB00053305","lower","tx","85","bill","HB 2988"
"1951","Declaring Israel a major strategic ally of Texas.","2017-03-07 07:40:10","2017-06-05 10:28:29","TXB00053344","lower","tx","85","concurrent resolution","HCR 99"
"1952","Relating to off-site sales by a dealer for antique or special interest vehicles that have been subject to a retail sale.","2017-03-07 07:40:15","2017-06-05 10:28:23","TXB00053430","lower","tx","85","bill","HB 2963"
"1953","Relating to assistance animals used by persons with disabilities and to the prosecution of the offense of misrepresenting an animal as an assistance animal or service animal.","2017-03-07 07:40:19","2017-06-05 10:27:50","TXB00053488","lower","tx","85","bill","HB 2992"
"1954","Relating to the procedure for obtaining a right to use state water if the applicant proposes an alternative source of water that is not state water.","2017-03-07 07:40:21","2017-06-05 10:28:09","TXB00053507","lower","tx","85","bill","HB 3031"
"1955","Relating to designating May 17 as Diffuse Intrinsic Pontine Glioma Awareness Day.","2017-03-07 07:40:21","2017-06-05 10:28:33","TXB00053514","lower","tx","85","bill","HB 2986"
"1956","Relating to certain sexual offenses; creating a criminal offense; increasing a criminal penalty.","2017-03-07 07:40:23","2017-06-05 10:28:35","TXB00053557","lower","tx","85","bill","HB 2974"
"1957","Relating to a study and report regarding shortages in certain health professions.","2017-03-07 07:40:24","2017-06-05 10:27:58","TXB00053572","lower","tx","85","bill","HB 3048"
"1958","Relating to a study by the Geo-Technology Research Institute on the monitoring, prevention, and removal of floating trash.","2017-03-11 08:34:38","2017-06-05 10:27:57","TXB00053628","lower","tx","85","bill","HB 3085"
"1959","Relating to recommendations regarding instruction in public schools to prevent the use of e-cigarettes.","2017-03-11 08:34:39","2017-06-05 10:27:51","TXB00053644","lower","tx","85","bill","HB 3684"
"1960","Relating to the power of certain counties to enact park use rules; affecting the prosecution of a criminal offense.","2017-03-11 08:34:40","2017-06-05 10:28:23","TXB00053680","lower","tx","85","bill","HB 4132"
"1961","Relating to the sale of park land owned by certain municipalities.","2017-03-11 08:34:40","2017-06-05 10:28:11","TXB00053685","lower","tx","85","bill","HB 3461"
"1962","Relating to the release of a child taken into possession by a law enforcement officer.","2017-03-11 08:34:41","2017-06-05 10:28:17","TXB00053708","lower","tx","85","bill","HB 4013"
"1963","Relating to the powers and duties of the Meyer Ranch Municipal Utility District of Comal County; affecting an existing limited power of eminent domain; providing authority to issue bonds; providing authority to impose fees and taxes.","2017-03-11 08:34:41","2017-06-05 10:28:42","TXB00053716","lower","tx","85","bill","HB 3219"
"1964","Relating to specialty license plates to honor certain Purple Heart recipients.","2017-03-11 08:34:41","2017-06-05 10:28:22","TXB00053724","lower","tx","85","bill","HB 3589"
"1965","Relating to post-discharge services offered by a juvenile board or juvenile probation department to a child after the child's probation period ends.","2017-03-11 08:34:43","2017-06-05 10:28:15","TXB00053795","lower","tx","85","bill","HB 3538"
"1966","Relating to the authority of the Texas Department of Motor Vehicles over real property and to the transfer of specific property from the Texas Department of Transportation.","2017-03-11 08:34:43","2017-06-05 10:28:42","TXB00053838","lower","tx","85","bill","HB 3689"
"1967","Relating to the designation of the San Angelo State Supported Living Center as a forensic state supported living center.","2017-03-11 08:34:44","2017-06-05 10:28:18","TXB00053851","lower","tx","85","bill","HB 3420"
"1968","Relating to savings and loan associations, savings banks, residential mortgage loan originators and servicers, and other persons or entities under the regulatory jurisdiction of the Department of Savings and Mortgage Lending and the savings and mortgage lending commissioner; creating an offense; imposing an administrative penalty.","2017-03-11 08:34:44","2017-06-05 10:28:12","TXB00053869","lower","tx","85","bill","HB 3367"
"1969","Relating to a competitive grant program to fund promotion of early literacy programs in certain communities in this state.","2017-03-11 08:34:44","2017-06-05 10:28:21","TXB00053895","lower","tx","85","bill","HB 3775"
"1970","Relating to notice provided by an applicant to house inmates released on parole or to mandatory supervision.","2017-03-11 08:34:45","2017-06-05 10:28:42","TXB00053913","lower","tx","85","bill","HB 3697"
"1971","Relating to sending notice of proposed contracts for highway projects by e-mail.","2017-03-11 08:34:47","2017-06-05 10:28:23","TXB00054047","lower","tx","85","bill","HB 3499"
"1972","Relating to the designation of a portion of Interstate Highway 35W in Johnson County as the Deputy Clifton Taylor Memorial Highway.","2017-03-11 08:34:47","2017-06-05 10:27:59","TXB00054089","lower","tx","85","bill","HB 3809"
"1973","Relating to applicability of certain county road administration laws to McLennan County.","2017-03-11 08:34:47","2017-06-05 10:28:17","TXB00054095","lower","tx","85","bill","HB 3258"
"1974","Relating to common admission application forms for institutions of higher education.","2017-03-11 08:34:49","2017-06-05 10:28:20","TXB00054189","lower","tx","85","bill","HB 3585"
"1975","Relating to the assessment of administrative penalties under the Texas Workers' Compensation Act.","2017-03-11 08:34:49","2017-06-05 10:28:19","TXB00054203","lower","tx","85","bill","HB 4039"
"1976","Relating to the creation of the state safety oversight program for rail fixed guideway public transportation systems.","2017-03-11 08:34:50","2017-06-05 10:28:52","TXB00054261","lower","tx","85","bill","HB 3445"
"1977","Relating to the composition of the aviation advisory committee.","2017-03-11 08:34:51","2017-06-05 10:28:30","TXB00054310","lower","tx","85","bill","HB 3591"
"1978","Relating to transition planning for a public school student enrolled in a special education program.","2017-03-11 08:34:53","2017-06-05 10:28:27","TXB00054416","lower","tx","85","bill","HB 4027"
"1979","Relating to public access to local innovation plans adopted by school districts of innovation.","2017-03-11 08:34:53","2017-06-05 10:28:37","TXB00054464","lower","tx","85","bill","HB 3318"
"1980","Relating to the licensing and regulation of pharmacies, pharmacists, and pharmacy technicians.","2017-03-11 08:34:54","2017-06-05 10:28:49","TXB00054524","lower","tx","85","bill","HB 3273"
"1981","Relating to the inspection of towing companies and vehicle storage facilities by the Texas Department of Licensing and Regulation.","2017-03-11 08:34:54","2017-06-05 10:28:36","TXB00054552","lower","tx","85","bill","HB 4127"
"1982","Relating to the authority to establish a customer assistance program for certain municipally owned utilities.","2017-03-11 08:34:55","2017-06-05 10:28:35","TXB00054606","lower","tx","85","bill","HB 3262"
"1983","Relating to rules adopted by the commissioner of insurance to stabilize long-term care premium rates.","2017-03-11 08:34:56","2017-06-05 10:28:23","TXB00054688","lower","tx","85","bill","HB 3128"
